Top Event 61 probability: 0.085
The amount of minimal cut sets: 1200
Minimal Cut Set                Minimal Cut Set Probability    Minimal Cut Set Importance    
[21, 39, 8, 36]                6.727E-6                       7.95834E-5                    
[8, 37, 16, 4]                 6.696E-6                       7.92166E-5                    
[27, 9, 37, 4]                 6.528E-6                       7.72291E-5                    
[24, 8, 36, 3]                 6.51E-6                        7.70162E-5                    
[38, 21, 39, 8]                6.3907E-6                      7.56042E-5                    
[8, 37, 12, 4]                 6.324E-6                       7.48157E-5                    
[25, 8, 37, 4]                 6.324E-6                       7.48157E-5                    
[8, 37, 15, 3]                 6.2496E-6                      7.39355E-5                    
[22, 8, 37, 3]                 6.2496E-6                      7.39355E-5                    
[38, 24, 8, 3]                 6.1845E-6                      7.31653E-5                    
[8, 37, 19, 3]                 6.071E-6                       7.18231E-5                    
[8, 37, 10, 7]                 5.9773E-6                      7.0714E-5                     
[21, 9, 37, 4]                 5.952E-6                       7.04148E-5                    
[28, 8, 36, 3]                 5.952E-6                       7.04148E-5                    
[35, 39, 8, 37]                5.9371E-6                      7.02387E-5                    
[26, 39, 9, 36]                5.936E-6                       7.02255E-5                    
[39, 9, 37, 13]                5.9136E-6                      6.99605E-5                    
[39, 9, 37, 33]                5.9136E-6                      6.99605E-5                    
[8, 37, 10, 1]                 5.8032E-6                      6.86544E-5                    
[38, 28, 8, 3]                 5.6544E-6                      6.6894E-5                     
[39, 9, 37, 34]                5.6448E-6                      6.67805E-5                    
[38, 26, 39, 9]                5.6392E-6                      6.67142E-5                    
[24, 9, 37, 7]                 5.5373E-6                      6.55084E-5                    
[24, 8, 36, 4]                 5.425E-6                       6.41801E-5                    
[24, 9, 37, 1]                 5.376E-6                       6.36004E-5                    
[27, 8, 37, 7]                 5.211E-6                       6.16481E-5                    
[8, 37, 15, 4]                 5.208E-6                       6.16129E-5                    
[22, 8, 37, 4]                 5.208E-6                       6.16129E-5                    
[39, 9, 37, 18]                5.161E-6                       6.10564E-5                    
[38, 24, 8, 4]                 5.1538E-6                      6.09711E-5                    
[28, 9, 37, 7]                 5.0627E-6                      5.98934E-5                    
[27, 8, 37, 1]                 5.0592E-6                      5.98526E-5                    
[8, 37, 19, 4]                 5.0592E-6                      5.98526E-5                    
[28, 8, 36, 4]                 4.96E-6                        5.8679E-5                     
[26, 8, 36, 3]                 4.929E-6                       5.83122E-5                    
[28, 9, 37, 1]                 4.9152E-6                      5.8149E-5                     
[8, 37, 33, 3]                 4.9104E-6                      5.80922E-5                    
[8, 37, 13, 3]                 4.9104E-6                      5.80922E-5                    
[39, 9, 37, 14]                4.8384E-6                      5.72404E-5                    
[9, 37, 11, 3]                 4.8384E-6                      5.72404E-5                    
[21, 8, 37, 7]                 4.7512E-6                      5.62086E-5                    
[38, 28, 8, 4]                 4.712E-6                       5.5745E-5                     
[8, 37, 34, 3]                 4.6872E-6                      5.54516E-5                    
[38, 26, 8, 3]                 4.6825E-6                      5.53966E-5                    
[21, 8, 37, 1]                 4.6128E-6                      5.45714E-5                    
[39, 8, 36, 11]                4.557E-6                       5.39113E-5                    
[9, 37, 17, 3]                 4.3776E-6                      5.17889E-5                    
[39, 9, 36, 10]                4.368E-6                       5.16754E-5                    
[38, 39, 8, 11]                4.3291E-6                      5.12157E-5                    
[23, 39, 9, 37]                4.3008E-6                      5.08803E-5                    
[8, 37, 18, 3]                 4.2854E-6                      5.06986E-5                    
[26, 9, 37, 7]                 4.1925E-6                      4.95993E-5                    
[38, 39, 9, 10]                4.1496E-6                      4.90916E-5                    
[9, 37, 16, 3]                 4.1472E-6                      4.90632E-5                    
[39, 8, 36, 17]                4.123E-6                       4.87769E-5                    
[26, 8, 36, 4]                 4.1075E-6                      4.85935E-5                    
[8, 37, 33, 4]                 4.092E-6                       4.84102E-5                    
[8, 37, 13, 4]                 4.092E-6                       4.84102E-5                    
[26, 9, 37, 1]                 4.0704E-6                      4.81546E-5                    
[9, 37, 11, 4]                 4.032E-6                       4.77003E-5                    
[39, 9, 37, 20]                4.032E-6                       4.77003E-5                    
[8, 37, 14, 3]                 4.0176E-6                      4.753E-5                      
[38, 39, 8, 17]                3.9168E-6                      4.63381E-5                    
[25, 9, 37, 3]                 3.9168E-6                      4.63375E-5                    
[9, 37, 12, 3]                 3.9168E-6                      4.63375E-5                    
[8, 37, 34, 4]                 3.906E-6                       4.62097E-5                    
[39, 8, 36, 16]                3.906E-6                       4.62097E-5                    
[38, 26, 8, 4]                 3.9021E-6                      4.61638E-5                    
[27, 39, 9, 36]                3.808E-6                       4.50503E-5                    
[38, 39, 8, 16]                3.7107E-6                      4.38992E-5                    
[39, 8, 36, 12]                3.689E-6                       4.36425E-5                    
[25, 39, 8, 36]                3.689E-6                       4.36425E-5                    
[9, 37, 17, 4]                 3.648E-6                       4.31574E-5                    
[8, 36, 10, 3]                 3.627E-6                       4.2909E-5                     
[38, 27, 39, 9]                3.6176E-6                      4.27978E-5                    
[8, 37, 18, 4]                 3.5712E-6                      4.22489E-5                    
[23, 8, 37, 3]                 3.5712E-6                      4.22489E-5                    
[38, 39, 8, 12]                3.5046E-6                      4.14604E-5                    
[38, 25, 39, 8]                3.5046E-6                      4.14604E-5                    
[21, 39, 9, 36]                3.472E-6                       4.10753E-5                    
[9, 37, 16, 4]                 3.456E-6                       4.0886E-5                     
[38, 8, 10, 3]                 3.4456E-6                      4.07635E-5                    
[24, 9, 36, 3]                 3.36E-6                        3.97503E-5                    
[8, 37, 14, 4]                 3.348E-6                       3.96083E-5                    
[8, 37, 20, 3]                 3.348E-6                       3.96083E-5                    
[38, 21, 39, 9]                3.2984E-6                      3.90215E-5                    
[9, 37, 12, 4]                 3.264E-6                       3.86145E-5                    
[25, 9, 37, 4]                 3.264E-6                       3.86145E-5                    
[9, 37, 15, 3]                 3.2256E-6                      3.81603E-5                    
[22, 9, 37, 3]                 3.2256E-6                      3.81603E-5                    
[8, 37, 11, 7]                 3.2185E-6                      3.80768E-5                    
[38, 24, 9, 3]                 3.192E-6                       3.77628E-5                    
[27, 8, 36, 3]                 3.162E-6                       3.74078E-5                    
[9, 37, 19, 3]                 3.1334E-6                      3.707E-5                      
[8, 37, 11, 1]                 3.1248E-6                      3.69678E-5                    
[9, 37, 10, 7]                 3.0851E-6                      3.64976E-5                    
[28, 9, 36, 3]                 3.072E-6                       3.63431E-5                    
[35, 39, 9, 37]                3.0643E-6                      3.62522E-5                    
[22, 39, 8, 36]                3.038E-6                       3.59409E-5                    
[39, 8, 36, 15]                3.038E-6                       3.59409E-5                    
[8, 36, 10, 4]                 3.0225E-6                      3.57575E-5                    
[38, 27, 8, 3]                 3.0039E-6                      3.55375E-5                    
[9, 37, 10, 1]                 2.9952E-6                      3.54345E-5                    
[23, 8, 37, 4]                 2.976E-6                       3.52074E-5                    
[39, 8, 36, 19]                2.9512E-6                      3.4914E-5                     
[38, 28, 9, 3]                 2.9184E-6                      3.4526E-5                     
[8, 37, 17, 7]                 2.912E-6                       3.44504E-5                    
